Label,Text,Predicted_Label
ham,LMAO where's your fish memory when I need it?,ham
ham,But i'll b going 2 sch on mon. My sis need 2 take smth.,ham
ham,Idea will soon get converted to live:),ham
spam,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,spam
ham,S....s...india going to draw the series after many years in south african soil..,ham
ham,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",ham
ham,Can't take any major roles in community outreach. You rock mel,ham
ham,Shopping lor. Them raining mah hard 2 leave orchard.,ham
ham,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.,ham
ham,See the forwarding message for proof,ham
ham,"I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do.",ham
ham,Dunno lei... I thk mum lazy to go out... I neva ask her yet...,ham
ham,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1.",ham
ham,"""Beautiful Truth against Gravity.. Read carefully: """"Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."""" GOODMORNING""",ham
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,spam
ham,Ambrith..madurai..met u in arun dha marrge..remembr?,ham
ham,Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time,ham
ham,"Princess, is your kitty shaved or natural?",ham
ham,"Better than bb. If he wont use it, his wife will or them doctor",ham
ham,Ya it came a while ago,ham
ham,From tomorrow onwards eve 6 to 3 work.,ham
ham,Anything lor but toa payoh got place 2 walk meh...,ham
ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex",ham
spam,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",spam
ham,Is there any movie theatre i can go to and watch unlimited movies and just pay once?,ham
ham,U having lunch alone? I now so bored...,ham
ham,"Yes obviously, but you are the eggs-pert and the potato head… Speak soon!",ham
ham,"Nah man, my car is meant to be crammed full of people",ham
ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch,ham
ham,Kallis is ready for bat in 2nd innings,ham
ham,Thanx but my birthday is over already.,ham
ham,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?",ham
ham,"I noe la... U wana pei bf oso rite... K lor, other days den...",ham
ham,"Yes, i'm small kid.. And boost is the secret of my energy..",ham
ham,IM GONNA MISS U SO MUCH,ham
ham,Is avatar supposed to have subtoitles,ham
ham,Simply sitting and watching match in office..,ham
ham,You can jot down things you want to remember later.,ham
ham,Oh sorry please its over,ham
ham,Hey are we going for the lo lesson or gym?,ham
ham,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.",ham
ham,You always make things bigger than they are,ham
ham,Ü dun wan to watch infernal affair?,ham
ham,"Me not waking up until 4 in the afternoon, sup",ham
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,spam
ham,I can send you a pic if you like :),ham
ham,Okay... I booked all already... Including the one at bugis.,ham
ham,"Aight fuck it, I'll get it later",ham
ham,No de. But call me after some time. Ill tell you k,ham
ham,So dont use hook up any how,ham
ham,How much is blackberry bold2 in nigeria.,ham
ham,Hi where you. You in home or calicut?,ham
ham,Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx,ham
spam,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!",spam
ham,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...",ham
ham,Y so late but i need to go n get da laptop...,ham
ham,"Sir, I am waiting for your mail.",ham
ham,.Please charge my mobile when you get up in morning.,ham
ham,"Nothing, i got msg frm tht unknown no..",ham
ham,Ugh fuck it I'm resubbing to eve,ham
ham,He didn't see his shadow. We get an early spring yay,ham
ham,I did. One slice and one breadstick. Lol,ham
ham,"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ...",ham
ham,Is there any training tomorrow?,ham
spam,"URGENT! Your mobile No *********** WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm",spam
ham,Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color,ham
ham,Cos daddy arranging time c wat time fetch ü mah...,ham
ham,Then. You are eldest know.,ham
ham,Who's there say hi to our drugdealer,ham
ham,Its hard to believe things like this. All can say lie but think twice before saying anything to me.,ham
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",spam
spam,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.,spam
ham,Good night my dear.. Sleepwell&amp;Take care,ham
ham,That is wondarfull song,ham
spam,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",spam
ham,Yar lor actually we quite fast... Cos da ge slow wat... Haha...,ham
ham,Must come later.. I normally bathe him in da afternoon mah..,ham
ham,"Trust me. Even if isn't there, its there.",ham
ham,Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx,ham
spam,85233 FREE>Ringtone!Reply REAL,spam
ham,I can take you at like noon,ham
ham,Where is it. Is there any opening for mca.,ham
ham,I'm aight. Wat's happening on your side.,ham
ham,I'm done oredi...,ham
ham,"you are sweet as well, princess. Please tell me your likes and dislikes in bed...",ham
ham,How are you. Wish you a great semester,ham
ham,Moji i love you more than words. Have a rich day,ham
ham,Dude how do you like the buff wind.,ham
ham,"""""""alright babe, justthought id sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x.""""""",ham
spam,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50,spam
ham,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing.",ham
ham,S:-)kallis wont play in first two odi:-),ham
ham,Then get some cash together and I'll text jason,ham
ham,"Oh, my love, it's soooo good to hear from you. Omg I missed you so much today. I'm sorry your having problems with the provider but thank you for tming me",ham
spam,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16",spam
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
ham,"Probably, want to pick up more?",ham
ham,I'm done...,ham
ham,Are you the cutest girl in the world or what,ham
ham,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?",ham
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE",spam
ham,Oh Howda gud gud.. Mathe en samachara chikku:-),ham
ham,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,ham
ham,Audrie lousy autocorrect,ham
ham,Its a site to simulate the test. It just gives you very tough questions to test your readiness.,ham
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,ham
ham,I fetch yun or u fetch?,ham
ham,Thank you. I like you as well...,ham
ham,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?",ham
spam,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk",spam
ham,Lara said she can loan me  &lt;#&gt; .,ham
ham,Do we have any spare power supplies,ham
ham,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.,ham
spam,You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p,spam
ham,"Yeah, don't go to bed, I'll be back before midnight",ham
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",spam
ham,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;,ham
ham,"It's that time of the week again, ryan",ham
ham,Wish u many many returns of the day.. Happy birthday vikky..,ham
spam,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription",spam
ham,I hope you know I'm still mad at you.,ham
ham,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at",ham
ham,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;),ham
